Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
Ocean Pacific's Buque Insignia,4.6,12649,Santiago,"Ricardo Cumming 277 - Agustinas 2237, 8340471 Santiago, Región Metropolitana, Chile","-33.4418322, -70.6680087","establishment, food, home_goods_store, museum, point_of_interest, restaurant, store"
Casa Lastarria,4.6,3038,Santiago,"José Victorino Lastarria 70, local 1, 8320152 Santiago, Región Metropolitana, Chile","-33.4395827, -70.6413211","establishment, food, point_of_interest, restaurant"
Bocanáriz,4.5,4679,Santiago,"José Victorino Lastarria 276, 8320126 Santiago, Región Metropolitana, Chile","-33.4384002, -70.64131929999999","bar, establishment, food, point_of_interest, restaurant"
Casaluz Restaurant,4.5,2690,Santiago,"Av. Italia 805, 7501184 Providencia, Región Metropolitana, Chile","-33.4421855, -70.6264657","establishment, food, point_of_interest, restaurant"
La Cabrera,4.5,3604,Santiago,"Alonso de Córdova 4263, 7630530 Vitacura, Región Metropolitana, Chile","-33.4035466, -70.5885212","establishment, food, point_of_interest, restaurant"
Restaurant Viva La Vida,4.8,4070,Santiago,"Constitución 166, 7520367 Providencia, Región Metropolitana, Chile","-33.4323847, -70.6350521","bar, establishment, food, point_of_interest, restaurant"
Chipe Libre - República Independiente del Pisco,4.6,4970,Santiago,"José Victorino Lastarria 282, 8320165 Santiago, Región Metropolitana, Chile","-33.438316, -70.641375","establishment, food, point_of_interest, restaurant"
Restaurant Barrio Sur,4.6,634,Santiago,"Av. Viel 1502, 8360752 Santiago, Región Metropolitana, Chile","-33.4670614, -70.6558964","establishment, food, point_of_interest, restaurant"
La Cabrera Chile Isidora,4.6,2207,Santiago,"Isidora Goyenechea 3275, 7550129 Las Condes, Región Metropolitana, Chile","-33.4146907, -70.5966256","establishment, food, point_of_interest, restaurant"
Chilean Brunch,4.8,904,Santiago,"Ernesto Pinto Lagarrigue 191, 8420496 Recoleta, Región Metropolitana, Chile","-33.4323875, -70.6369339","bar, cafe, establishment, food, point_of_interest, restaurant, store"
Los Vikingos Restaurant,4.6,7915,Santiago,"Av. Ricardo Cumming 166, 8350538 Santiago, Región Metropolitana, Chile","-33.4429893, -70.6681595","establishment, food, point_of_interest, restaurant"
Las Vacas Gordas,4.5,6887,Santiago,"Cienfuegos 280, 8340461 Santiago, Región Metropolitana, Chile","-33.44113830000001, -70.66370049999999","establishment, food, point_of_interest, restaurant"
El Grandioso Caballo de Palo,4.5,1136,Cerrillos,"Cartagena 4148, 9210031 Cerrillos, Santiago, Región Metropolitana, Chile","-33.479463, -70.6903248","establishment, food, point_of_interest, restaurant"
Johnny Rockets,4.6,2913,Cerrillos,"Av. Américo Vespucio 1501, Cerrillos, Región Metropolitana, Chile","-33.5164076, -70.7161831","establishment, food, point_of_interest, restaurant"
Restaurant Valle Hermoso,4.5,545,Cerro Navia,"Av. José Joaquín Pérez 6683, 9080119 Santiago, Cerro Navia, Región Metropolitana, Chile","-33.42896330000001, -70.7274734","establishment, food, point_of_interest, restaurant"
Restaurante El Parrillero,4.5,300,Cerro Navia,"Av. José Joaquín Pérez 6549, 9080879 Cerro Navia, Región Metropolitana, Chile","-33.429244, -70.7254043","establishment, food, point_of_interest, restaurant"
AKIKOMO CERRO NAVIA,4.6,502,Cerro Navia,"Rolando Petersen 1680, 9090493 Cerro Navia, Región Metropolitana, Chile","-33.4174531, -70.7475858","establishment, food, meal_takeaway, point_of_interest, restaurant"
La Quintrala,4.8,497,Conchalí,"Catalina de Los Ríos 1949, 8550396 Conchalí, Región Metropolitana, Chile","-33.3774434, -70.6869074","establishment, food, point_of_interest, restaurant"
El Gordo Restaurante,4.6,552,Conchalí,"Av. Independencia 5187, 8561168 Conchalí, Región Metropolitana, Chile","-33.3806786, -70.682807","establishment, food, point_of_interest, restaurant"
Yelu Restaurant,4.5,845,Conchalí,"Av. Los Zapadores 2610, 8550849 Conchalí, Región Metropolitana, Chile","-33.3888103, -70.6860466","establishment, food, point_of_interest, restaurant"
Restaurant sing Hwa Independencia,4.5,638,Conchalí,"Av. Independencia 4219, 0000000 Conchalí, Región Metropolitana, Chile","-33.3895427, -70.6759639","establishment, food, point_of_interest, restaurant"
Empanaderia Don Lucho,4.8,309,Conchalí,"Eusebio Lillo 1905, 8550500 Conchalí, Región Metropolitana, Chile","-33.3793924, -70.68598949999999","establishment, food, point_of_interest, restaurant"
Casa Bosque Restaurant,4.6,5409,El Bosque,"Camino el Volcán 16829, Cajon de Maipo, Región Metropolitana, Chile","-33.5998564, -70.36086809999999","establishment, food, point_of_interest, restaurant"
Restaurante Peruano Rosita Rios,4.6,578,El Bosque,"Lo Moreno 1002, 8011861 El Bosque, Región Metropolitana, Chile","-33.5789148, -70.67600689999999","establishment, food, point_of_interest, restaurant"
Restaurant y Cabañas El Bosque,4.6,801,El Bosque,"Horcon bajo Paihuano, 1700000 Coquimbo, Paihuano, Coquimbo, Chile","-30.1934337, -70.48548199999999","establishment, food, point_of_interest, restaurant"
Palacio del Poroto,4.5,7426,Estación Central,"Gral. Amengual 494, 9160000 Estación Central, Región Metropolitana, Chile","-33.4599415, -70.69586799999999","establishment, food, point_of_interest, restaurant"
Parrilladas Argentina Alameda,4.6,9616,Estación Central,"Av. Alameda Libertador Bernardo O'Higgins 4470, 9160086 Estación Central, Región Metropolitana, Chile","-33.4559568, -70.69663469999999","establishment, food, point_of_interest, restaurant"
Angus Beef House,4.8,320,Huechuraba,"Av. del Valle Nte. 961, 1710, 8581150 Huechuraba, Región Metropolitana, Chile","-33.3885604, -70.61903040000001","establishment, food, point_of_interest, restaurant"
Rockstar | Restaurante | Bar | Pub,4.9,594,Huechuraba,"Av. Pedro Fontova Nte. 7280, local 121, 8580000 Huechuraba, Región Metropolitana, Chile","-33.3551908, -70.67128079999999","bar, establishment, food, point_of_interest, restaurant"
Restaurant Asia Perú,4.5,1032,Huechuraba,"Av. Pedro Fontova 7571, 8591133 Huechuraba, Región Metropolitana, Chile","-33.3516808, -70.6698371","establishment, food, point_of_interest, restaurant"
Del Carajo,4.7,2130,Independencia,"Hipódromo Chile 1570, 8380171 Independencia, Región Metropolitana, Chile","-33.4071773, -70.6618463","establishment, food, point_of_interest, restaurant"
Ramen One Independencia,4.8,1118,Independencia,"Patio de comidas, Avenida independencia 565, Mall Barrio - Av. Independencia, Santiago de Chile, local TM-302, 3083000 Independencia, Región Metropolitana, Chile","-33.4246863, -70.65472799999999","establishment, food, point_of_interest, restaurant"
Nueva China Independencia,4.6,5497,Independencia,"Av. Independencia 2054, 8380168 Independencia, Región Metropolitana, Chile","-33.4076337, -70.66103799999999","establishment, food, point_of_interest, restaurant"
Restaurante TACU TACU Independencia,4.5,1318,Independencia,"Bezanilla 1221, Independencia, Región Metropolitana, Chile","-33.4175367, -70.6569471","establishment, food, point_of_interest, restaurant"
Parrilladas Argentina Hipodromo,4.6,8988,Independencia,"Altamirano 2210, 8390181 Independencia, Región Metropolitana, Chile","-33.4071197, -70.6688156","establishment, food, point_of_interest, restaurant"
Panappetit,4.9,638,Independencia,"Av. Independencia 801, local 1, 8380490 Independencia, Región Metropolitana, Chile","-33.4221963, -70.6552461","bakery, cafe, establishment, food, meal_delivery, point_of_interest, restaurant, store"
Bar La Cervecería La Cisterna,4.6,1077,La Cisterna,"Gran Av. José Miguel Carrera 8157, 7970491 La Cisterna, Región Metropolitana, Chile","-33.5288455, -70.66226259999999","bar, establishment, food, point_of_interest, restaurant"
Sabor Oriental,4.5,620,La Cisterna,"Gran Av. José Miguel Carrera 8523, 7970683 La Cisterna, Región Metropolitana, Chile","-33.5337148, -70.6636491","establishment, food, point_of_interest, restaurant"
COMIC-LON,4.5,949,La Cisterna,"Av. Américo Vespucio 0300, 7970000 Santiago, La Cisterna, Región Metropolitana, Chile","-33.5364173, -70.6684058","establishment, food, meal_delivery, point_of_interest, restaurant, store"
JIMM RESTAURANT,4.5,2297,La Cisterna,"Av. Fernández Albano 1197, 7970000 La Cisterna, Región Metropolitana, Chile","-33.5263933, -70.6475273","establishment, food, point_of_interest, restaurant"
Texas Ribs Florida Center,4.9,576,La Florida,"vicuña mackena - Acceso Mall Florida Center 6100, Local 1117, 8240000 La Florida, Región Metropolitana, Chile","-33.5101105, -70.60697019999999","establishment, food, point_of_interest, restaurant"
